timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,ID
"[1736515367.4962728, 1736515367.7392178, 1736515367.881744, 1736515368.1171482, 1736515368.2693357]",1736515368.566491,1736515368.5665004,1736515369.9968169,1736515370.0041041,1736515371.2104533,1.0,5,0.42743444442749023,0.017363786697387695,0.07153463363647461,0.14412236213684082,0.25905561447143555,"[0.19779157638549805, 0.2561154365539551]","[0.08977961540222168, 0.14980411529541016]",1736515371
"[1736515368.4933813, 1736515368.663982, 1736515368.9058795, 1736515369.0789711, 1736515369.3267293]",1736515369.5893402,1736515369.589349,1736515370.8571684,1736515370.8620863,1736515372.2158556,1.0,5,0.4016444683074951,0.040375709533691406,0.04409050941467285,0.13824176788330078,0.24843597412109375,"[0.1853189468383789, 0.17388224601745605]","[0.08725810050964355, 0.1552269458770752]",1736515372
"[1736515369.4750292, 1736515369.6326516, 1736515369.8643894, 1736515370.0984302, 1736515370.268037]",1736515370.5656044,1736515370.5656142,1736515371.8422616,1736515371.8502607,1736515373.2123733,1.0,5,0.39836740493774414,0.016129016876220703,0.06096005439758301,0.11667561531066895,0.2250840663909912,"[0.20728826522827148, 0.18521785736083984]","[0.0861821174621582, 0.13722920417785645]",1736515373
"[1736515370.4963868, 1736515370.7413325, 1736515370.8891, 1736515371.1356428, 1736515371.2944028]",1736515371.5990772,1736515371.5990891,1736515372.8169537,1736515372.8227472,1736515374.2127168,1.0,5,0.38053417205810547,0.024594783782958984,0.03995776176452637,0.14043354988098145,0.27661752700805664,"[0.12136960029602051, 0.17841792106628418]","[0.08865571022033691, 0.14583444595336914]",1736515374
"[1736515371.5229526, 1736515371.6835148, 1736515371.911492, 1736515372.1593604, 1736515372.3224957]",1736515372.5432894,1736515372.543303,1736515373.8350198,1736515373.8412123,1736515375.2131503,1.0,5,0.36732053756713867,0.0241849422454834,0.07660889625549316,0.1188650131225586,0.2484290599822998,"[0.21462726593017578, 0.1844313144683838]","[0.08672642707824707, 0.15224599838256836]",1736515375
"[1736515372.4703064, 1736515372.6297479, 1736515372.8672364, 1736515373.1059203, 1736515373.2703874]",1736515373.57117,1736515373.571183,1736515374.829701,1736515374.8367472,1736515376.2152035,1.0,5,0.36475086212158203,0.036170005798339844,0.0898885726928711,0.12470054626464844,0.18736934661865234,"[0.20225954055786133, 0.17807793617248535]","[0.08412384986877441, 0.14205193519592285]",1736515376
"[1736515373.4964507, 1736515373.6557667, 1736515373.8870544, 1736515374.1267154, 1736515374.2765343]",1736515374.579516,1736515374.5795283,1736515375.7684333,1736515375.7755253,1736515377.2167811,1.0,5,0.35666847229003906,0.03865408897399902,0.08460402488708496,0.11088132858276367,0.1847672462463379,"[0.20418882369995117, 0.1320044994354248]","[0.08922743797302246, 0.14405083656311035]",1736515377
"[1736515374.504448, 1736515374.742212, 1736515374.8831155, 1736515375.1292524, 1736515375.2936945]",1736515375.5998507,1736515375.5998592,1736515376.8920763,1736515376.8974676,1736515378.216304,1.0,5,0.3630063533782959,0.015123367309570312,0.05688929557800293,0.13370227813720703,0.2322831153869629,"[0.18246746063232422, 0.22391200065612793]","[0.09331202507019043, 0.16884589195251465]",1736515378
"[1736515375.5210314, 1736515375.682217, 1736515375.9183078, 1736515376.0926998, 1736515376.3266923]",1736515376.5508597,1736515376.5508735,1736515377.8049061,1736515377.8113706,1736515379.2183042,1.0,5,0.37637853622436523,0.015829086303710938,0.042870283126831055,0.1454639434814453,0.2337806224822998,"[0.22188425064086914, 0.14666414260864258]","[0.08500838279724121, 0.1490488052368164]",1736515379
"[1736515376.4791074, 1736515376.7205386, 1736515376.8614314, 1736515377.105056, 1736515377.2700124]",1736515377.5651438,1736515377.5651565,1736515378.794238,1736515378.799857,1736515380.2192605,1.0,5,0.37784647941589355,0.02595686912536621,0.04397225379943848,0.14700889587402344,0.24547171592712402,"[0.21395659446716309, 0.12825250625610352]","[0.08864903450012207, 0.1485154628753662]",1736515380
