timestamps_capturing,timestamps_sampling,timestamps_codec_start,timestamps_codec_end,timestamps_media_server_received,timestamps_server_published,segment_duration,frame_rate,time_measurements_analysis,time_measurements_hyper_analysis,time_measurements_factorized_model,time_measurements_hyper_synthesis,time_measurements_geometry_comprresion,time_measurements_gaussian_model,time_measurements_bitstream_writing,gop_info_num_points,gop_info_bandwidth,gop_info_bpp,ID
"[1736609091.6252198, 1736609091.7662318, 1736609091.917376, 1736609092.0619721, 1736609092.1917205, 1736609092.357933, 1736609092.4910972]",1736609092.6280758,1736609092.6282227,1736609096.150775,1736609096.1575146,1736609096.1701186,1.0,7,0.28053927421569824,0.030652523040771484,0.28180623054504395,0.214324951171875,0.4181787967681885,"[0.4429173469543457, 0.3731346130371094]","[0.06397199630737305, 0.11312198638916016]",68370,"[16, 16, 16]","[0.00023402076934327923, 0.00023402076934327923, 0.00023402076934327923]",1736609096
"[1736609092.6251523, 1736609092.766817, 1736609092.9017165, 1736609093.0308747, 1736609093.225666, 1736609093.3579104, 1736609093.491017]",1736609093.6267347,1736609093.627099,1736609097.2117784,1736609097.2187793,1736609097.2327607,1.0,7,0.3571915626525879,0.03127455711364746,0.12392759323120117,0.2840754985809326,0.37059617042541504,"[0.4738941192626953, 0.4021487236022949]","[0.07031846046447754, 0.11046242713928223]",70568,"[16, 16, 16]","[0.00022673166307674868, 0.00022673166307674868, 0.00022673166307674868]",1736609097
"[1736609093.6248848, 1736609093.7679658, 1736609093.904386, 1736609094.0369563, 1736609094.196611, 1736609094.3333488, 1736609094.4594069]",1736609094.687835,1736609094.6878932,1736609098.227593,1736609098.2357197,1736609098.2487094,1.0,7,0.301896333694458,0.03338932991027832,0.22259807586669922,0.22572612762451172,0.4947054386138916,"[0.38184618949890137, 0.40934062004089355]","[0.07852458953857422, 0.14202165603637695]",80779,"[16, 16, 16]","[0.00019807128090221468, 0.00019807128090221468, 0.00019807128090221468]",1736609098
"[1736609094.665046, 1736609094.798396, 1736609094.9269686, 1736609095.0644934, 1736609095.255274, 1736609095.379461, 1736609095.4938953]",1736609095.661672,1736609095.6617472,1736609099.6543744,1736609099.6629739,1736609099.6740444,1.0,7,0.32360243797302246,0.035448551177978516,0.23646116256713867,0.2296769618988037,0.5072817802429199,"[0.4588916301727295, 0.612342357635498]","[0.15038442611694336, 0.2005603313446045]",91274,"[16, 16, 16]","[0.000175296360409317, 0.000175296360409317, 0.000175296360409317]",1736609099
"[1736609095.6248493, 1736609095.7582865, 1736609095.9057543, 1736609096.0454373, 1736609096.1650937, 1736609096.3580494, 1736609096.4935873]",1736609096.696659,1736609096.6967683,1736609100.7501407,1736609100.7546942,1736609100.7674894,1.0,7,0.30092453956604004,0.03103351593017578,0.21084213256835938,0.19025492668151855,0.3377830982208252,"[0.452655553817749, 0.43288350105285645]","[0.09185242652893066, 0.11321330070495605]",80166,"[16, 16, 16]","[0.00019958585934186563, 0.00019958585934186563, 0.00019958585934186563]",1736609100
"[1736609096.6273146, 1736609096.7637997, 1736609096.9208004, 1736609097.032165, 1736609097.1790364, 1736609097.3212643, 1736609097.4688401]",1736609097.6740813,1736609097.6741757,1736609101.7729058,1736609101.7783675,1736609101.790082,1.0,7,0.2896709442138672,0.0310671329498291,0.3180086612701416,0.2180619239807129,0.46474289894104004,"[0.3571321964263916, 0.45780205726623535]","[0.0877373218536377, 0.1156456470489502]",80655,"[16, 16, 16]","[0.00019837579815262538, 0.00019837579815262538, 0.00019837579815262538]",1736609101
"[1736609097.6470466, 1736609097.7836673, 1736609097.9154716, 1736609098.092836, 1736609098.227124, 1736609098.3599758, 1736609098.4933136]",1736609098.634576,1736609098.634687,1736609102.7714846,1736609102.777715,1736609102.789178,1.0,7,0.3785865306854248,0.03347635269165039,0.17850637435913086,0.1955857276916504,0.3222525119781494,"[0.3267977237701416, 0.468029260635376]","[0.07711124420166016, 0.1227729320526123]",80080,"[16, 16, 16]","[0.0001998001998001998, 0.0001998001998001998, 0.0001998001998001998]",1736609102
"[1736609098.6264215, 1736609098.7599747, 1736609098.914405, 1736609099.050685, 1736609099.2026458, 1736609099.3155181, 1736609099.5031514]",1736609099.6578894,1736609099.6579742,1736609103.854508,1736609103.8619862,1736609103.8759663,1.0,7,0.31540727615356445,0.04115152359008789,0.21503996849060059,0.2337181568145752,0.3812577724456787,"[0.4287374019622803, 0.4001781940460205]","[0.10732221603393555, 0.14333748817443848]",86685,"[16, 16, 16]","[0.0001845763396204649, 0.0001845763396204649, 0.0001845763396204649]",1736609103
"[1736609099.6262891, 1736609099.75895, 1736609099.9101107, 1736609100.0355632, 1736609100.1620827, 1736609100.3610792, 1736609100.493245]",1736609100.752501,1736609100.7529187,1736609104.7583582,1736609104.7651818,1736609104.7738664,1.0,7,0.304764986038208,0.04202699661254883,0.21431398391723633,0.18698382377624512,0.37734484672546387,"[0.3386416435241699, 0.3655836582183838]","[0.08081579208374023, 0.11130928993225098]",73229,"[16, 16, 16]","[0.0002184926736675361, 0.0002184926736675361, 0.0002184926736675361]",1736609104
"[1736609100.6268342, 1736609100.7605517, 1736609100.8935213, 1736609101.027061, 1736609101.2281234, 1736609101.3638113, 1736609101.4936879]",1736609101.7758284,1736609101.7758884,1736609105.6694188,1736609105.674034,1736609105.68211,1.0,7,0.28261780738830566,0.02949047088623047,0.20981335639953613,0.21586966514587402,0.35213160514831543,"[0.33951497077941895, 0.38857316970825195]","[0.07546567916870117, 0.10264968872070312]",66740,"[16, 16, 16]","[0.000239736290080911, 0.000239736290080911, 0.000239736290080911]",1736609105
